# q/kF, int w**0 * S(q; w) dw
3.909999999999999698e+00,1.115203410897256608e+00
3.919999999999999929e+00,1.114209991796751620e+00
3.929999999999999716e+00,1.113232435390159925e+00
3.939999999999999503e+00,1.112269598349651112e+00
3.949999999999999734e+00,1.111322632640550534e+00
3.959999999999999964e+00,1.110389103685983203e+00
3.969999999999999751e+00,1.109471335839807171e+00
3.979999999999999982e+00,1.108566083927933432e+00
3.989999999999999769e+00,1.107676083571686787e+00
4.000000000000000000e+00,1.106798571701415046e+00
